Input,Output,Epoch,ObservedProb,ExpectedProb
gorar+PL_0,gorarka,1,1.0,0.5
gorar+PL_1,gorarka,1,1.0,0.5
gorar+PL_2,gorarka,1,1.0,0.5
gorar+PL_3,gorarka,1,1.0,0.5
gorar+PL_4,gorarka,1,1.0,0.5
gorar+PL_5,gorarka,1,1.0,0.5
gorar+PL_6,gorarka,1,1.0,0.5
gorar+PL_7,gorarka,1,1.0,0.5
gorar+PL_8,gorarka,1,1.0,0.5
gorar+PL_9,gorarka,1,1.0,0.5
gorar+PL_10,gorarka,1,1.0,0.5
gorar+PL_0,gorarson,1,0.0,0.5
gorar+PL_1,gorarson,1,0.0,0.5
gorar+PL_2,gorarson,1,0.0,0.5
gorar+PL_3,gorarson,1,0.0,0.5
gorar+PL_4,gorarson,1,0.0,0.5
gorar+PL_5,gorarson,1,0.0,0.5
gorar+PL_6,gorarson,1,0.0,0.5
gorar+PL_7,gorarson,1,0.0,0.5
gorar+PL_8,gorarson,1,0.0,0.5
gorar+PL_9,gorarson,1,0.0,0.5
gorar+PL_10,gorarson,1,0.0,0.5
mureg+PL_0,muregson,1,0.0,0.5
mureg+PL_1,muregson,1,0.0,0.5
mureg+PL_2,muregson,1,0.0,0.5
mureg+PL_3,muregson,1,0.0,0.5
mureg+PL_4,muregson,1,0.0,0.5
mureg+PL_5,muregson,1,0.0,0.5
mureg+PL_6,muregson,1,0.0,0.5
mureg+PL_7,muregson,1,0.0,0.5
mureg+PL_8,muregson,1,0.0,0.5
mureg+PL_9,muregson,1,0.0,0.5
mureg+PL_10,muregson,1,0.0,0.5
mureg+PL_11,muregson,1,0.0,0.5
mureg+PL_12,muregson,1,0.0,0.5
mureg+PL_13,muregson,1,0.0,0.5
mureg+PL_14,muregson,1,0.0,0.5
mureg+PL_15,muregson,1,0.0,0.5
mureg+PL_16,muregson,1,0.0,0.5
mureg+PL_17,muregson,1,0.0,0.5
mureg+PL_18,muregson,1,0.0,0.5
mureg+PL_19,muregson,1,0.0,0.5
mureg+PL_20,muregson,1,0.0,0.5
mureg+PL_21,muregson,1,0.0,0.5
mureg+PL_22,muregson,1,0.0,0.5
mureg+PL_23,muregson,1,0.0,0.5
mureg+PL_24,muregson,1,0.0,0.5
mureg+PL_25,muregson,1,0.0,0.5
mureg+PL_26,muregson,1,0.0,0.5
mureg+PL_27,muregson,1,0.0,0.5
mureg+PL_28,muregson,1,0.0,0.5
mureg+PL_29,muregson,1,0.0,0.5
mureg+PL_30,muregson,1,0.0,0.5
mureg+PL_31,muregson,1,0.0,0.5
mureg+PL_32,muregson,1,0.0,0.5
mureg+PL_33,muregson,1,0.0,0.5
mureg+PL_34,muregson,1,0.0,0.5
mureg+PL_35,muregson,1,0.0,0.5
mureg+PL_36,muregson,1,0.0,0.5
mureg+PL_37,muregson,1,0.0,0.5
mureg+PL_38,muregson,1,0.0,0.5
mureg+PL_39,muregson,1,0.0,0.5
mureg+PL_40,muregson,1,0.0,0.5
mureg+PL_41,muregson,1,0.0,0.5
mureg+PL_42,muregson,1,0.0,0.5
mureg+PL_43,muregson,1,0.0,0.5
mureg+PL_44,muregson,1,0.0,0.5
mureg+PL_45,muregson,1,0.0,0.5
mureg+PL_46,muregson,1,0.0,0.5
mureg+PL_47,muregson,1,0.0,0.5
mureg+PL_48,muregson,1,0.0,0.5
mureg+PL_49,muregson,1,0.0,0.5
mureg+PL_50,muregson,1,0.0,0.5
mureg+PL_51,muregson,1,0.0,0.5
mureg+PL_52,muregson,1,0.0,0.5
mureg+PL_53,muregson,1,0.0,0.5
mureg+PL_54,muregson,1,0.0,0.5
mureg+PL_55,muregson,1,0.0,0.5
mureg+PL_56,muregson,1,0.0,0.5
mureg+PL_57,muregson,1,0.0,0.5
mureg+PL_58,muregson,1,0.0,0.5
mureg+PL_59,muregson,1,0.0,0.5
mureg+PL_60,muregson,1,0.0,0.5
mureg+PL_61,muregson,1,0.0,0.5
mureg+PL_62,muregson,1,0.0,0.5
mureg+PL_63,muregson,1,0.0,0.5
mureg+PL_64,muregson,1,0.0,0.5
mureg+PL_65,muregson,1,0.0,0.5
mureg+PL_66,muregson,1,0.0,0.5
mureg+PL_67,muregson,1,0.0,0.5
mureg+PL_68,muregson,1,0.0,0.5
mureg+PL_69,muregson,1,0.0,0.5
mureg+PL_70,muregson,1,0.0,0.5
mureg+PL_71,muregson,1,0.0,0.5
mureg+PL_72,muregson,1,0.0,0.5
mureg+PL_73,muregson,1,0.0,0.5
mureg+PL_74,muregson,1,0.0,0.5
mureg+PL_75,muregson,1,0.0,0.5
mureg+PL_76,muregson,1,0.0,0.5
mureg+PL_77,muregson,1,0.0,0.5
mureg+PL_78,muregson,1,0.0,0.5
mureg+PL_0,muregka,1,1.0,0.5
mureg+PL_1,muregka,1,1.0,0.5
mureg+PL_2,muregka,1,1.0,0.5
mureg+PL_3,muregka,1,1.0,0.5
mureg+PL_4,muregka,1,1.0,0.5
mureg+PL_5,muregka,1,1.0,0.5
mureg+PL_6,muregka,1,1.0,0.5
mureg+PL_7,muregka,1,1.0,0.5
mureg+PL_8,muregka,1,1.0,0.5
mureg+PL_9,muregka,1,1.0,0.5
mureg+PL_10,muregka,1,1.0,0.5
mureg+PL_11,muregka,1,1.0,0.5
mureg+PL_12,muregka,1,1.0,0.5
mureg+PL_13,muregka,1,1.0,0.5
mureg+PL_14,muregka,1,1.0,0.5
mureg+PL_15,muregka,1,1.0,0.5
mureg+PL_16,muregka,1,1.0,0.5
mureg+PL_17,muregka,1,1.0,0.5
mureg+PL_18,muregka,1,1.0,0.5
mureg+PL_19,muregka,1,1.0,0.5
mureg+PL_20,muregka,1,1.0,0.5
mureg+PL_21,muregka,1,1.0,0.5
mureg+PL_22,muregka,1,1.0,0.5
mureg+PL_23,muregka,1,1.0,0.5
mureg+PL_24,muregka,1,1.0,0.5
mureg+PL_25,muregka,1,1.0,0.5
mureg+PL_26,muregka,1,1.0,0.5
mureg+PL_27,muregka,1,1.0,0.5
mureg+PL_28,muregka,1,1.0,0.5
mureg+PL_29,muregka,1,1.0,0.5
mureg+PL_30,muregka,1,1.0,0.5
mureg+PL_31,muregka,1,1.0,0.5
mureg+PL_32,muregka,1,1.0,0.5
mureg+PL_33,muregka,1,1.0,0.5
mureg+PL_34,muregka,1,1.0,0.5
mureg+PL_35,muregka,1,1.0,0.5
mureg+PL_36,muregka,1,1.0,0.5
mureg+PL_37,muregka,1,1.0,0.5
mureg+PL_38,muregka,1,1.0,0.5
mureg+PL_39,muregka,1,1.0,0.5
mureg+PL_40,muregka,1,1.0,0.5
mureg+PL_41,muregka,1,1.0,0.5
mureg+PL_42,muregka,1,1.0,0.5
mureg+PL_43,muregka,1,1.0,0.5
mureg+PL_44,muregka,1,1.0,0.5
mureg+PL_45,muregka,1,1.0,0.5
mureg+PL_46,muregka,1,1.0,0.5
mureg+PL_47,muregka,1,1.0,0.5
mureg+PL_48,muregka,1,1.0,0.5
mureg+PL_49,muregka,1,1.0,0.5
mureg+PL_50,muregka,1,1.0,0.5
mureg+PL_51,muregka,1,1.0,0.5
mureg+PL_52,muregka,1,1.0,0.5
mureg+PL_53,muregka,1,1.0,0.5
mureg+PL_54,muregka,1,1.0,0.5
mureg+PL_55,muregka,1,1.0,0.5
mureg+PL_56,muregka,1,1.0,0.5
mureg+PL_57,muregka,1,1.0,0.5
mureg+PL_58,muregka,1,1.0,0.5
mureg+PL_59,muregka,1,1.0,0.5
mureg+PL_60,muregka,1,1.0,0.5
mureg+PL_61,muregka,1,1.0,0.5
mureg+PL_62,muregka,1,1.0,0.5
mureg+PL_63,muregka,1,1.0,0.5
mureg+PL_64,muregka,1,1.0,0.5
mureg+PL_65,muregka,1,1.0,0.5
mureg+PL_66,muregka,1,1.0,0.5
mureg+PL_67,muregka,1,1.0,0.5
mureg+PL_68,muregka,1,1.0,0.5
mureg+PL_69,muregka,1,1.0,0.5
mureg+PL_70,muregka,1,1.0,0.5
mureg+PL_71,muregka,1,1.0,0.5
mureg+PL_72,muregka,1,1.0,0.5
mureg+PL_73,muregka,1,1.0,0.5
mureg+PL_74,muregka,1,1.0,0.5
mureg+PL_75,muregka,1,1.0,0.5
mureg+PL_76,muregka,1,1.0,0.5
mureg+PL_77,muregka,1,1.0,0.5
mureg+PL_78,muregka,1,1.0,0.5
gagut+PL_0,gagutka,1,1.0,0.5
gagut+PL_1,gagutka,1,1.0,0.5
gagut+PL_2,gagutka,1,1.0,0.5
gagut+PL_3,gagutka,1,1.0,0.5
gagut+PL_4,gagutka,1,1.0,0.5
gagut+PL_5,gagutka,1,1.0,0.5
gagut+PL_6,gagutka,1,1.0,0.5
gagut+PL_7,gagutka,1,1.0,0.5
gagut+PL_8,gagutka,1,1.0,0.5
gagut+PL_9,gagutka,1,1.0,0.5
gagut+PL_0,gagutson,1,0.0,0.5
gagut+PL_1,gagutson,1,0.0,0.5
gagut+PL_2,gagutson,1,0.0,0.5
gagut+PL_3,gagutson,1,0.0,0.5
gagut+PL_4,gagutson,1,0.0,0.5
gagut+PL_5,gagutson,1,0.0,0.5
gagut+PL_6,gagutson,1,0.0,0.5
gagut+PL_7,gagutson,1,0.0,0.5
gagut+PL_8,gagutson,1,0.0,0.5
gagut+PL_9,gagutson,1,0.0,0.5
bizob+PL_0,bizobka,1,1.0,0.5
bizob+PL_1,bizobka,1,1.0,0.5
bizob+PL_2,bizobka,1,1.0,0.5
bizob+PL_3,bizobka,1,1.0,0.5
bizob+PL_4,bizobka,1,1.0,0.5
bizob+PL_5,bizobka,1,1.0,0.5
bizob+PL_6,bizobka,1,1.0,0.5
bizob+PL_7,bizobka,1,1.0,0.5
bizob+PL_8,bizobka,1,1.0,0.5
bizob+PL_0,bizobson,1,0.0,0.5
bizob+PL_1,bizobson,1,0.0,0.5
bizob+PL_2,bizobson,1,0.0,0.5
bizob+PL_3,bizobson,1,0.0,0.5
bizob+PL_4,bizobson,1,0.0,0.5
bizob+PL_5,bizobson,1,0.0,0.5
bizob+PL_6,bizobson,1,0.0,0.5
bizob+PL_7,bizobson,1,0.0,0.5
bizob+PL_8,bizobson,1,0.0,0.5
kumud+PL_0,kumudka,1,1.0,0.5
kumud+PL_1,kumudka,1,1.0,0.5
kumud+PL_2,kumudka,1,1.0,0.5
kumud+PL_3,kumudka,1,1.0,0.5
kumud+PL_4,kumudka,1,1.0,0.5
kumud+PL_5,kumudka,1,1.0,0.5
kumud+PL_6,kumudka,1,1.0,0.5
kumud+PL_7,kumudka,1,1.0,0.5
kumud+PL_0,kumudson,1,0.0,0.5
kumud+PL_1,kumudson,1,0.0,0.5
kumud+PL_2,kumudson,1,0.0,0.5
kumud+PL_3,kumudson,1,0.0,0.5
kumud+PL_4,kumudson,1,0.0,0.5
kumud+PL_5,kumudson,1,0.0,0.5
kumud+PL_6,kumudson,1,0.0,0.5
kumud+PL_7,kumudson,1,0.0,0.5
mitin+PL_0,mitinka,1,0.0,0.5
mitin+PL_1,mitinka,1,0.0,0.5
mitin+PL_2,mitinka,1,0.0,0.5
mitin+PL_3,mitinka,1,0.0,0.5
mitin+PL_4,mitinka,1,0.0,0.5
mitin+PL_5,mitinka,1,0.0,0.5
mitin+PL_6,mitinka,1,0.0,0.5
mitin+PL_0,mitinson,1,1.0,0.5
mitin+PL_1,mitinson,1,1.0,0.5
mitin+PL_2,mitinson,1,1.0,0.5
mitin+PL_3,mitinson,1,1.0,0.5
mitin+PL_4,mitinson,1,1.0,0.5
mitin+PL_5,mitinson,1,1.0,0.5
mitin+PL_6,mitinson,1,1.0,0.5
fogun+PL_0,fogunson,1,1.0,0.5
fogun+PL_1,fogunson,1,1.0,0.5
fogun+PL_2,fogunson,1,1.0,0.5
fogun+PL_3,fogunson,1,1.0,0.5
fogun+PL_4,fogunson,1,1.0,0.5
fogun+PL_5,fogunson,1,1.0,0.5
fogun+PL_6,fogunson,1,1.0,0.5
fogun+PL_7,fogunson,1,1.0,0.5
fogun+PL_8,fogunson,1,1.0,0.5
fogun+PL_9,fogunson,1,1.0,0.5
fogun+PL_10,fogunson,1,1.0,0.5
fogun+PL_11,fogunson,1,1.0,0.5
fogun+PL_12,fogunson,1,1.0,0.5
fogun+PL_13,fogunson,1,1.0,0.5
fogun+PL_14,fogunson,1,1.0,0.5
fogun+PL_15,fogunson,1,1.0,0.5
fogun+PL_16,fogunson,1,1.0,0.5
fogun+PL_17,fogunson,1,1.0,0.5
fogun+PL_18,fogunson,1,1.0,0.5
fogun+PL_19,fogunson,1,1.0,0.5
fogun+PL_20,fogunson,1,1.0,0.5
fogun+PL_21,fogunson,1,1.0,0.5
fogun+PL_22,fogunson,1,1.0,0.5
fogun+PL_23,fogunson,1,1.0,0.5
fogun+PL_24,fogunson,1,1.0,0.5
fogun+PL_25,fogunson,1,1.0,0.5
fogun+PL_26,fogunson,1,1.0,0.5
fogun+PL_27,fogunson,1,1.0,0.5
fogun+PL_28,fogunson,1,1.0,0.5
fogun+PL_29,fogunson,1,1.0,0.5
fogun+PL_30,fogunson,1,1.0,0.5
fogun+PL_31,fogunson,1,1.0,0.5
fogun+PL_32,fogunson,1,1.0,0.5
fogun+PL_33,fogunson,1,1.0,0.5
fogun+PL_34,fogunson,1,1.0,0.5
fogun+PL_35,fogunson,1,1.0,0.5
fogun+PL_36,fogunson,1,1.0,0.5
fogun+PL_37,fogunson,1,1.0,0.5
fogun+PL_38,fogunson,1,1.0,0.5
fogun+PL_39,fogunson,1,1.0,0.5
fogun+PL_0,fogunka,1,0.0,0.5
fogun+PL_1,fogunka,1,0.0,0.5
fogun+PL_2,fogunka,1,0.0,0.5
fogun+PL_3,fogunka,1,0.0,0.5
fogun+PL_4,fogunka,1,0.0,0.5
fogun+PL_5,fogunka,1,0.0,0.5
fogun+PL_6,fogunka,1,0.0,0.5
fogun+PL_7,fogunka,1,0.0,0.5
fogun+PL_8,fogunka,1,0.0,0.5
fogun+PL_9,fogunka,1,0.0,0.5
fogun+PL_10,fogunka,1,0.0,0.5
fogun+PL_11,fogunka,1,0.0,0.5
fogun+PL_12,fogunka,1,0.0,0.5
fogun+PL_13,fogunka,1,0.0,0.5
fogun+PL_14,fogunka,1,0.0,0.5
fogun+PL_15,fogunka,1,0.0,0.5
fogun+PL_16,fogunka,1,0.0,0.5
fogun+PL_17,fogunka,1,0.0,0.5
fogun+PL_18,fogunka,1,0.0,0.5
fogun+PL_19,fogunka,1,0.0,0.5
fogun+PL_20,fogunka,1,0.0,0.5
fogun+PL_21,fogunka,1,0.0,0.5
fogun+PL_22,fogunka,1,0.0,0.5
fogun+PL_23,fogunka,1,0.0,0.5
fogun+PL_24,fogunka,1,0.0,0.5
fogun+PL_25,fogunka,1,0.0,0.5
fogun+PL_26,fogunka,1,0.0,0.5
fogun+PL_27,fogunka,1,0.0,0.5
fogun+PL_28,fogunka,1,0.0,0.5
fogun+PL_29,fogunka,1,0.0,0.5
fogun+PL_30,fogunka,1,0.0,0.5
fogun+PL_31,fogunka,1,0.0,0.5
fogun+PL_32,fogunka,1,0.0,0.5
